,news_url,news_title,news_description,news_claim
0,https://www.snopes.com/fact-check/chinese-intelligence-coronavirus/?collection-id=238721,False,A piece of horror fiction was a little too believable for some readers. ,False
1,https://www.snopes.com/fact-check/coronavirus-65-million-people/?collection-id=238721,False,Some details from a mock health exercise were confused with real-world reports.,False
2,https://www.snopes.com/news/2020/04/03/already-had-covid-19/?collection-id=238721,News,Scientists do not know exactly when or where the first COVID-19 case occurred. Does that mean it could have occurred anywhere?,News
3,https://www.snopes.com/fact-check/covid-19-discovered-us-south-korea/?collection-id=238721,True,These two countries took different approaches in the early days of the pandemic and saw vastly different results. ,True
4,https://www.snopes.com/fact-check/coronavirus-graph-spreading-faster/?collection-id=238721,Mixture,A video clip supposedly showing the exponential spread of a new coronavirus misled some viewers. ,Mixture
5,https://www.snopes.com/fact-check/italy-200-deaths-24-hours/?collection-id=238721,True,"As of early March 2020, Italy had seen the worst COVID-19 outbreak outside Asia.",True
6,https://www.snopes.com/fact-check/italy-doctor-corona-not-flu/?collection-id=238721,Correct Attribution,"Physician: ""The situation is now nothing short of dramatic. No other words come to mind.""",Correct Attribution
7,https://www.snopes.com/fact-check/coronavirus-cameroonian-student/?collection-id=238721,False,Misinformation about the coronavirus outbreak seems to have traveled farther than the virus itself.,False
8,https://www.snopes.com/news/2020/03/06/coronavirus-cash/?collection-id=238721,News,The World Health Organization has advised people to “wash their hands after handling banknotes.” ,News
9,https://www.snopes.com/fact-check/covid19-gas-pump-handles/?collection-id=238721,Mixture,"Gas pump handles are one of many common objects that could be contaminated, so consumers should take reasonable precautions to avoid exposure.",Mixture
10,https://www.snopes.com/fact-check/covid-19-found-in-toilet-paper/?collection-id=238721,False,"The last thing readers needed amid the 2020 coronavirus pandemic was fiction disguised as ""news."" ",False
11,https://www.snopes.com/fact-check/coronavirus-warm-weather/?collection-id=238721,Unproven,"U.S. President Donald Trump said he hoped the virus would go away in April 2020 because the ""heat generally speaking kills this kind of virus.""",Unproven
12,https://www.snopes.com/fact-check/nwllab-moh-bulletin-coronavirus/?collection-id=241238,False,"A viral social media post erroneously advised the public to ""keep your throat moist"" in order to avoid contracting the respiratory infection.",False
13,https://www.snopes.com/fact-check/drinking-water-prevent-coronavirus/?collection-id=241238,False,"This ""serious excellent advice by Japanese doctors treating COVID-19 cases"" is not all that excellent. ",False
14,https://www.snopes.com/fact-check/taiwan-experts-self-check/?collection-id=241238,False,"Take a deep breath and consult the CDC or WHO's latest guidance before following any coronavirus ""advice"" from random sources on social media.",False
15,https://www.snopes.com/fact-check/hand-sanitizer-titos-vodka/?collection-id=241238,False,"As the coronavirus spread in 2020, a fierce outbreak of bad advice took hold online. ",False
